Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1961","1961","°C","0.662","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1962","1962","°C","-0.461","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1963","1963","°C","-0.498","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1964","1964","°C","1.306","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1965","1965","°C","-0.043","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1966","1966","°C","-2.325","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1967","1967","°C","1.011","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1968","1968","°C","-0.526","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1969","1969","°C","-0.875","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1970","1970","°C","-0.671","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1971","1971","°C","-1.273","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1972","1972","°C","-1.921","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1973","1973","°C","0.948","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1974","1974","°C","-1.371","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1975","1975","°C","-0.482","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1976","1976","°C","0.458","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1977","1977","°C","1.379","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1978","1978","°C","-0.013","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1979","1979","°C","-0.169","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1980","1980","°C","0.914","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1981","1981","°C","4.84","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1982","1982","°C","-2.87","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1983","1983","°C","1.312","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1984","1984","°C","-0.126","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1985","1985","°C","2.266","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1986","1986","°C","2.619","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1987","1987","°C","3.167","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1988","1988","°C","0.232","E","Estimated value"
"ET","Temperature change on land","021","Northern America","7271","Temperature change","7001","January","1989","1989","°C","0.376","E","Estimated value"
